Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge
6303,1,1662.0,21296.0,11,1,38
16840,1,1043.0,15382.0,6,1,32
14202,1,1025.0,14945.0,7,1,31
21788,1,2823.0,18203.0,4,1,31
15118,0,2472.0,19990.0,7,1,63
10019,1,2067.0,19976.0,9,1,32
11670,1,2396.0,20177.0,8,1,39
12005,0,1699.0,17074.0,8,1,29
16817,0,2876.0,25367.0,6,1,31
21031,0,1451.0,15364.0,4,1,32
5435,1,571.75,14217.75,7,4,59
5689,1,340.666666667,12816.6666667,8,3,24
3861,1,2013.66666667,17866.6666667,4,3,67
3816,1,3.0,7960.0,13,1,32
11791,0,426.0,13284.0,8,1,44
10266,0,1462.0,17178.0,9,1,29
17821,1,2644.0,17894.0,5,1,48
3597,1,846.0,15729.0,13,1,36
12776,0,1354.0,16086.5,6,2,41
19940,1,2194.0,16729.0,5,1,41
19431,0,1461.0,15161.0,5,1,33
27326,0,1652.0,16550.0,2,1,42
28039,1,2628.0,19119.0,2,1,57
7385,1,1043.0,15554.0,10,1,28
28667,0,1547.0,16271.0,1,1,30
17535,1,1035.0,14197.0,5,1,29
10613,1,451.0,13529.0,6,4,33
19580,1,2180.0,16707.0,5,1,42
30330,1,2012.0,17823.0,1,1,30
18804,1,3524.0,23784.0,5,1,45
29792,1,570.0,13710.0,1,1,40
17615,0,1102.0,14327.0,5,1,32
3308,0,923.5,15609.0,10,4,40
19506,0,1943.0,16168.0,5,1,56
12031,1,2776.8,19839.0,2,5,38
17330,0,1726.0,17098.0,6,1,44
15466,1,540.0,13963.0,6,1,30
19263,1,594.5,13445.0,4,2,65
13073,0,2199.66666667,18695.0,6,3,42
29435,0,468.0,13375.0,1,1,50
15840,1,1008.0,15307.0,6,1,30
16662,0,1927.0,17654.0,6,1,46
18990,0,1988.0,16790.5,2,2,51
16555,0,1899.0,17583.0,6,1,31
9037,0,2009.0,17262.0,4,2,60
9704,0,2441.0,23427.0,9,1,59
20077,0,3418.0,21943.0,5,1,29
17622,0,1606.0,15454.0,5,1,45
6706,1,938.0,14836.6666667,2,3,70
30134,1,1925.0,17547.0,1,1,35
7664,0,1190.0,16081.0,10,1,25
4808,1,1416.0,18471.0,12,1,31
29368,1,1621.0,16471.0,1,1,40
14923,1,1792.0,17031.0,7,1,26
10988,0,651.0,14648.0,9,1,45
13303,1,375.0,13015.0,7,1,53
26168,0,3324.0,21941.0,2,1,31
5028,1,380.0,13813.0,12,1,37
22378,0,1391.0,15240.0,4,1,31
9954,1,2176.0,20665.0,9,1,69
9182,1,752.0,14531.0,10,1,36
8407,1,1154.0,15964.0,10,1,32
16549,1,1401.5,15952.0,2,2,23
9701,1,1138.0,16196.0,9,1,42
15836,1,89.0,11632.0,6,1,22
5125,1,282.0,13413.0,12,1,48
16858,0,1319.0,16068.0,6,1,55
16008,1,3065.5,21755.0,5,2,71
21936,0,1403.0,15266.0,4,1,45
10038,0,2083.0,20037.0,9,1,42
5942,1,1480.0,18755.0,11,1,21
29563,1,803.0,14301.0,1,1,30
15019,0,1472.0,16165.0,7,1,27
7567,1,196.0,12401.0,10,1,51
12026,1,740.5,13779.5,4,2,22
7476,1,1451.0,16982.0,10,1,40
3654,1,608.0,14767.5,12,2,41
22432,1,185.0,12069.0,4,1,44
5469,1,293.2,13061.0,6,5,41
3999,1,686.0,14944.0,13,1,28
18295,1,809.0,13767.5,4,2,44
30209,1,90.0,11696.0,1,1,25
20961,1,286.0,12518.0,4,1,58
20478,1,3005.0,18682.0,4,1,47
27926,1,2170.0,17722.0,2,1,29
27192,1,1558.0,16364.0,2,1,34
17763,1,2175.0,16700.0,5,1,62
4944,1,217.0,13082.0,12,1,42
13782,0,1612.0,16547.0,7,1,25
11697,0,416.0,13249.0,8,1,35
7347,1,74.0,11320.0,10,1,34
4554,0,1055.0,16573.0,12,1,34
9872,0,1620.0,17761.0,9,1,42
21392,1,3822.0,22744.0,4,1,25
29289,1,1879.0,17343.0,1,1,40
26873,1,35.0,10971.0,2,1,41
3043,0,1096.0,16268.0,6,2,39
3504,1,423.0,13765.0,13,1,31
2791,1,685.0,13960.0,2,2,50
17281,0,337.0,13239.0,6,1,36
28310,1,612.0,14103.0,2,1,49
17447,0,1923.0,17644.0,6,1,35
16125,0,1535.0,16605.0,6,1,36
22339,1,1041.0,14541.0,4,1,43
8754,1,1002.6,14795.8,2,5,54
8319,0,1394.0,16913.0,9,2,31
29525,0,1113.0,15153.0,1,1,45
4713,1,302.0,13498.0,12,1,40
29838,1,941.0,14621.0,1,1,35
26416,0,2439.0,18458.0,2,1,53
12496,1,142.0,11871.0,8,1,38
13609,1,1123.0,15181.0,7,1,33
15623,1,1242.0,15892.0,6,1,20
12563,0,1382.0,16050.0,8,1,30
15211,0,2778.0,23374.0,6,2,49
12443,0,2073.0,18320.0,8,1,45
22583,0,3795.0,22457.0,4,1,33
13402,0,1940.0,17425.0,7,1,23
8104,0,2353.0,22818.0,10,1,44
16459,1,1932.0,17688.0,6,1,41
29723,0,1884.0,17366.0,1,1,40
30218,0,2281.0,19216.0,1,1,25
11926,0,1016.0,15022.0,8,1,24
8594,0,210.0,12451.0,10,1,47
18453,0,1931.0,16140.0,5,1,37
28619,1,1291.0,15636.0,1,1,25
22705,1,225.0,12266.0,4,1,37
26196,1,2630.0,19123.0,2,1,50
18646,1,1417.0,15073.0,5,1,49
9944,1,904.0,15531.0,9,1,38
10745,1,1128.0,16166.0,9,1,54
29460,1,2360.0,19631.0,1,1,35
11886,0,2457.0,20850.0,8,1,28
10709,1,2406.0,23119.0,9,1,30
10672,1,1937.0,19188.0,9,1,58
10118,1,903.0,15522.0,9,1,45
28625,0,759.0,14174.0,1,1,30
18224,0,3072.0,19374.0,5,1,51
3287,1,494.0,14101.0,13,1,36
3618,0,823.5,14948.0,8,2,33
1489,1,1817.0,16897.0,2,1,46
14575,0,2629.0,21431.0,7,1,35
18620,0,1930.0,16135.0,5,1,32
3730,1,1780.2,18122.4,2,5,54
20767,0,3526.0,20651.0,4,1,24
13951,1,1908.0,17476.0,6,2,30
14241,1,2101.0,18015.0,7,1,46
9030,1,1511.0,17206.0,10,1,40
26242,1,74.0,11569.0,2,1,41
19734,0,2345.0,17061.0,5,1,23
5602,1,1063.0,16624.0,12,1,36
18600,0,1689.0,15641.0,5,1,31
29819,1,898.0,14500.0,1,1,25
16663,1,655.0,14248.0,6,1,50
3632,1,1831.0,17088.3333333,4,3,71
27719,1,80.0,11670.0,2,1,36
9485,1,1616.0,17750.0,9,1,42
13671,1,2635.0,21526.0,7,1,44
6483,1,1244.0,17201.0,11,1,55
18533,1,219.0,11962.0,5,1,42
8406,0,997.0,15396.0,10,1,18
29593,1,1238.0,15501.0,1,1,40
6623,0,1951.5,21942.0,9,2,47
22901,1,2438.0,17326.0,4,1,47
11086,1,1626.0,17769.0,9,1,44
3905,1,196.0,12593.0,13,1,35
15542,1,2383.0,19398.0,6,1,53
29945,0,141.0,12116.0,1,1,35
16266,0,67.0,11387.0,6,1,28
7739,1,911.666666667,14716.0,2,3,53
16024,1,104.0,11813.0,6,1,29
18072,1,2244.0,16853.0,5,1,34
7389,1,1839.0,18729.0,10,1,45
29513,1,908.0,14532.0,1,1,30
3950,1,254.0,12428.0,8,2,41
11989,1,2327.0,19663.0,8,1,62
18259,0,1444.0,15129.0,5,1,41
19756,1,690.0,13552.0,5,1,50
28507,0,3480.0,23243.0,2,1,27
9257,0,1797.0,18474.0,9,1,26
6092,0,811.0,15313.0,11,1,28
17954,1,285.0,12321.0,5,1,57
11380,0,1418.0,16132.0,8,1,38
21683,0,2610.5,18243.5,2,2,55
14778,0,888.0,14484.0,7,1,33
22014,1,3705.0,21750.0,4,1,49
5559,1,1826.0,19482.6666667,6,6,40
9384,1,127.0,12363.0,9,1,24
13990,1,976.0,14788.0,7,1,38
20411,0,1043.0,14584.0,1,2,45
17693,0,1273.0,14708.0,5,1,27
7616,1,1381.0,16245.4,6,5,32
17311,1,1790.0,17250.0,6,1,37
16734,0,2511.0,20041.0,6,1,25
7704,0,1873.0,18921.0,10,1,29
4987,1,965.0,16164.0,12,1,33
19659,0,3414.0,21893.0,5,1,39
6880,0,336.0,13403.0,11,1,21
14535,1,720.0,14021.0,7,1,29
12999,0,1538.0,16497.0,8,1,35
27412,1,594.0,14076.0,2,1,43
16160,1,327.0,13194.0,6,1,28
21814,0,840.0,14132.0,4,1,50
27669,0,3517.0,23867.0,2,1,23
10780,1,1356.0,16908.0,9,1,45
11351,1,1221.0,15643.0,8,1,50
30137,1,574.0,13716.0,1,1,35
28028,1,2618.0,19079.0,2,1,28
27639,1,435.0,13605.0,2,1,25
28095,1,654.0,14241.0,2,1,44
19735,1,2442.0,17311.0,5,1,44
6663,0,144.0,12268.3333333,9,3,35
15615,0,837.0,14817.0,6,1,24
13544,1,1064.0,15058.0,7,1,42
22105,1,2008.0,16391.0,4,1,53
3758,0,1575.33333333,18794.3333333,9,3,52
12942,1,736.0,14103.0,7,2,43
2076,1,112.0,12022.0,2,1,30
20331,0,3083.0,18954.0,4,1,43
10790,0,1388.33333333,16284.0,7,3,55
28347,1,1936.0,17201.0,2,1,57
14427,1,1641.0,16628.0,7,1,52
19409,1,701.0,13564.0,5,1,34
19028,1,3005.0,19068.0,5,1,59
30256,1,308.0,12925.0,1,1,40
12735,0,911.0,14660.0,8,1,24
21834,1,2675.0,17864.0,4,1,42
2978,0,3260.0,22151.25,1,4,55
26992,1,2065.0,17481.0,2,1,28
27136,0,3335.0,21998.0,2,1,41
29751,0,1748.0,16920.0,1,1,35
16658,1,406.0,13610.0,6,1,31
15796,1,2452.0,19731.0,6,1,44
13857,1,2598.0,21043.0,7,1,42
10090,0,1041.66666667,15330.3333333,7,3,36
10011,1,2008.0,19610.0,9,1,32
18233,1,9.0,9374.0,5,1,28
5095,1,902.0,15861.0,12,1,35
12386,1,2372.0,19934.0,8,1,52
6941,1,533.0,14201.0,11,1,45
27509,0,1823.0,16914.0,2,1,57
13226,1,656.0,13948.0,8,1,34
26574,0,916.0,14906.0,2,1,27
16303,1,2081.0,18109.0,6,1,47
15030,1,1242.0,15490.0,7,1,45
10067,1,1532.0,17417.0,9,1,29
28894,0,949.0,14639.0,1,1,35
28042,1,697.0,14347.0,2,1,52
28292,1,1402.0,16068.0,2,1,32
17197,1,1637.0,15963.6666667,4,3,47
20379,1,3557.0,20797.0,4,1,35
18416,1,644.0,13446.0,5,1,34
30303,0,1285.0,15624.0,1,1,30
3295,1,529.0,14246.0,13,1,35
4495,1,816.0,15519.0,12,1,56
8712,0,1143.0,15932.0,10,1,40
6593,0,660.0,14666.0,11,1,39
15182,1,983.0,14818.0,7,1,45
17336,1,460.0,13757.0,6,1,37
8080,0,816.0,14782.0,10,1,44
27793,1,1969.0,17267.0,2,1,28
4161,0,61.0,11307.0,13,1,53
3040,0,883.0,15887.0,13,1,32
8964,0,706.0,14400.0,10,1,33
29580,1,922.0,14571.0,1,1,30
3774,1,1201.0,16741.3333333,10,3,48
19468,0,3713.5,24196.5,4,2,35
27378,1,1379.0,16032.0,2,1,36
20844,1,574.0,13564.0,4,1,45
8953,0,1876.0,18925.0,10,1,44
20199,0,3073.0,18921.0,4,1,27
351,0,164.333333333,12112.3333333,1,3,41
29691,0,2666.0,22777.0,1,1,35
20097,0,2665.0,17948.0,5,1,37
29390,0,1163.0,15275.0,1,1,40
28013,0,1111.0,15384.0,2,1,37
22548,0,954.0,14356.0,4,1,30
29638,0,426.0,13253.0,1,1,30
10278,0,1399.0,17011.0,9,1,38
4965,1,1434.0,18581.0,12,1,24
19885,1,1812.0,15890.0,5,1,60
13445,0,2527.0,20443.0,7,1,24
29035,1,21.0,10573.0,1,1,35
21678,1,2265.0,16933.0,4,1,28
19335,1,1173.0,14478.0,5,1,29
19816,1,2209.0,16759.0,5,1,36
13880,0,2031.0,17770.0,7,1,26
4725,1,1278.0,17798.5,11,2,39
18187,1,1503.0,15228.0,5,1,44
5651,0,1271.66666667,16031.0,4,3,49
9547,0,581.0,14369.0,9,1,32
11354,1,1889.0,17625.0,8,1,41
12303,0,433.0,13322.0,8,1,46
14363,1,1979.0,17528.0,7,1,33
6711,1,217.0,12768.0,11,1,30
16049,1,754.5,13877.0,5,2,45
30334,0,1463.0,16059.0,1,1,45
8020,0,2236.0,21436.0,10,1,26
18965,1,294.0,12351.0,5,1,53
3868,1,1760.75,21347.0,9,4,60
10277,0,1650.0,17845.0,9,1,32
13471,0,2379.25,18043.25,4,4,36
8437,0,2462.0,27285.0,10,1,54
21917,1,580.0,13584.0,4,1,44
15845,0,1847.0,17436.0,6,1,34
19085,1,1141.0,14414.0,5,1,58
22304,1,2277.0,16955.0,4,1,33
3786,1,604.333333333,14326.0,8,3,29
10687,0,2319.0,21982.0,9,1,39
10021,1,606.0,14445.0,9,1,25
7451,0,1420.0,16855.0,10,1,37
12632,0,2404.0,20253.0,8,1,36
3815,1,1435.0,23161.0,13,1,52
7432,1,862.0,14938.0,10,1,65
26867,1,204.0,12613.0,2,2,45
8327,0,2116.0,20365.0,10,1,53
5558,1,1119.0,15678.3333333,7,3,44
8256,1,1004.0,15451.0,10,1,41
1408,1,2952.5,21525.25,1,4,55
22480,1,2428.0,17307.0,4,1,40
11871,1,88.0,11434.0,8,1,26
5961,0,1678.0,21564.0,11,1,36
11778,1,891.0,14589.0,8,1,72
28845,0,2463.0,20362.0,1,1,40
26232,1,2847.0,19785.0,2,1,53
29261,0,1260.0,15546.0,1,1,30
27429,1,2151.0,17685.0,2,1,44
29164,0,1756.0,16929.0,1,1,35
14858,1,431.0,13164.0,7,1,45
13789,0,1131.0,15200.0,7,1,48
11919,1,1455.0,16228.0,8,1,27
11806,1,1453.0,16226.0,8,1,50
26696,1,56.0,11348.0,2,1,43
8665,0,2237.0,21456.0,10,1,26
28713,1,1464.5,16075.5,1,2,50
9291,1,665.0,14703.0,9,1,38
15186,1,1313.0,15874.5,6,2,27
3513,1,472.0,13984.0,13,1,40
21871,0,1786.0,15973.0,4,1,25
10520,1,742.0,14971.0,9,1,37
8517,0,390.0,13218.5,6,4,33
26782,1,192.0,12603.0,2,1,30
20422,1,3868.0,23273.0,4,1,61
29243,1,494.0,13452.0,1,1,20
15841,0,2477.0,19829.0,6,1,43
6169,1,1472.0,18705.0,11,1,40
17269,1,1572.0,16686.0,6,1,48
3055,1,739.0,15234.0,13,1,37
19430,1,3194.0,19979.0,5,1,32
18996,0,813.0,13801.0,5,1,29
2765,1,1896.0,17394.0,1,1,35
29474,0,2057.0,17947.0,1,1,35
27491,0,3327.0,21950.0,2,1,74
10425,1,956.0,15681.0,9,1,34
9067,1,456.0,13547.0,10,1,32
22874,0,1515.0,15486.0,4,1,37
29102,1,33.0,10781.0,1,1,35
28427,0,2580.0,18934.0,2,1,23
20788,1,2572.0,17612.0,4,1,47
6933,1,1959.5,21433.5,10,2,73
22427,0,822.0,14098.0,4,1,43
22535,1,3213.0,19331.0,4,1,53
20423,0,2535.0,17519.0,4,1,39
15879,1,356.0,13357.0,6,1,41
12987,0,1256.0,15600.5,7,2,24
3699,1,621.0,14640.0,13,1,32
17582,0,2387.0,17145.0,5,1,20
13467,0,1728.0,16814.0,7,1,25
28510,1,1480.0,16212.0,2,1,40
11581,1,1727.0,17041.0,6,2,54
15893,1,54.0,11190.0,6,1,26
3901,1,722.0,15134.5,12,2,42
7652,1,803.0,14706.0,10,1,49
30044,0,812.0,14320.0,1,1,35
20536,0,3306.0,19670.0,4,1,60
17631,0,1497.0,15224.0,5,1,32
29407,1,1732.0,16864.0,1,1,40
18634,1,1152.0,14432.0,5,1,26
5143,1,489.0,14105.0,9,3,98
14943,1,1373.0,15819.0,7,1,35
19837,1,1410.0,15054.0,5,1,36
9087,1,1714.0,17982.0,10,1,50
2389,1,2800.125,20868.125,1,8,57
11264,1,391.0,13165.0,8,1,44
15579,1,1580.0,16708.0,6,1,48
18955,1,67.0,11002.0,5,1,34
6702,0,1027.0,16212.0,11,1,39
6115,0,2235.5,24482.0,7,2,48
16677,1,1144.0,15646.0,6,1,42
10525,0,1134.0,16186.0,9,1,28
8260,1,699.0,14373.0,10,1,25
27498,1,386.0,13469.0,2,1,24
30092,1,1800.0,17068.0,1,1,45
21402,0,170.0,11987.0,4,1,38
21302,0,1574.0,15577.0,4,1,37
12203,1,81.0,11314.0,8,1,43
4516,1,1529.0,19324.0,12,1,34
6588,1,450.0,13945.0,11,1,48
15633,1,1471.0,16439.0,6,1,39
13910,0,1877.5,17389.0,6,2,40
501,0,1745.0,16913.0,1,1,30
5907,1,83.0,11582.0,11,1,27
20283,1,1817.0,16021.0,4,1,49
6026,0,1482.0,18765.0,11,1,25
22372,1,799.0,14039.0,4,1,37
26415,1,3527.0,24126.0,2,1,29
9848,1,1611.0,17718.0,9,1,27
4196,1,855.2,15458.0,9,5,47
15177,0,510.0,13414.0,7,1,30
20772,1,540.0,13445.0,4,1,33
10887,1,746.5,14685.0,8,2,39
3856,1,261.0,13043.0,13,1,31
8057,0,930.0,15185.0,10,1,29
6752,0,1635.0,18174.5,8,2,43
9004,1,472.0,13609.0,10,1,33
14015,0,1654.0,16654.0,7,1,32
27625,1,47.0,11199.0,2,1,33
20400,1,347.0,12791.0,4,1,42
20088,1,2446.0,17323.0,5,1,41
19809,1,1439.0,15120.0,5,1,40
29529,1,1190.0,15372.0,1,1,30
9648,1,76.0,11930.0,9,1,45
10870,1,1943.0,18301.3333333,6,3,36
30235,0,1042.0,14959.0,1,1,35
3604,1,1428.0,22752.0,13,1,68
17443,1,1419.0,16310.0,6,1,49
18597,1,2498.0,17484.0,5,1,49
26581,1,359.0,13357.0,2,1,38
8425,1,151.0,12079.0,10,1,31
9732,1,805.0,15206.0,9,1,27
28753,1,1372.0,15850.0,1,1,35
29160,0,1501.0,16175.0,1,1,45
17772,1,2840.5,19652.25,1,4,30
13726,0,2187.0,18435.0,7,1,34
16180,0,2813.0,23256.0,6,1,52
11238,1,1443.0,15564.0,5,2,40
20927,1,169.333333333,12145.3333333,1,3,56
17903,1,601.0,13314.0,5,1,27
4763,1,525.0,14326.0,12,1,44
28195,1,3127.0,20820.0,2,1,34
29062,0,2733.0,24821.0,1,1,35
14712,0,2060.0,17905.0,7,1,46
17905,0,345.0,12488.0,5,1,29
14991,1,733.25,13912.75,4,4,36
21784,1,1759.0,15924.0,4,1,48
2873,1,1626.25,16248.0,1,4,60
4769,1,228.0,13129.0,12,1,36
15101,0,2687.0,22288.0,7,1,19
11844,1,1494.0,16352.0,8,1,25
6151,1,750.0,15049.0,11,1,40
27762,0,2595.0,19000.0,2,1,24
22077,1,1900.0,16164.0,4,1,23
5165,1,824.5,15470.5,11,2,50
13277,1,1424.0,15988.0,7,1,33
26791,0,1385.0,16053.0,2,1,35
9455,0,2438.33333333,21188.3333333,7,3,26
7701,1,2369.0,23117.0,10,1,34
28961,0,1429.0,15981.0,1,1,35
19768,0,360.0,12509.0,5,1,38
20391,0,602.0,13637.0,4,1,28
21750,0,1008.0,14460.0,4,1,39
6521,1,1539.0,19407.0,11,1,49
18023,1,2704.0,17950.0,4,2,53
30293,1,684.0,14009.0,1,1,25
7718,1,470.0,13600.0,10,1,53
22807,0,317.0,12662.0,4,1,39
29800,0,2667.0,22791.0,1,1,30
10107,1,1166.5,15770.0,1,2,50
12072,1,198.0,12311.0,8,1,18
5397,0,1767.0,23999.0,12,1,25
7394,0,1498.0,17178.0,10,1,28
16106,0,1870.0,16773.5,5,2,27
8341,1,845.6,14633.4,6,5,20
14345,1,2161.0,18281.0,7,1,30
26341,0,1873.0,17060.0,2,1,23
29763,0,1328.0,15741.0,1,1,45
13543,1,1677.0,16701.0,7,1,51
16722,0,2831.0,23735.0,6,1,43
18907,1,712.0,13592.0,5,1,42
5976,0,1397.0,18098.0,11,1,39
29188,1,1864.0,17286.0,1,1,45
7085,1,491.0,14074.0,11,1,49
16038,0,517.0,13900.0,6,1,32
7238,1,1368.0,16716.0,10,1,22
11856,0,2149.0,18711.0,8,1,41
22644,1,3022.0,18755.0,4,1,33
4990,0,23.0,10140.25,4,4,44
19302,0,2490.0,17448.0,5,1,40
14117,0,1238.0,15482.0,7,1,24
4941,1,1300.5,17653.0,11,2,39
15391,1,55.0,11231.0,6,1,41
1728,1,2697.66666667,19603.0,4,3,44
30055,1,852.0,14406.0,1,1,25
30136,0,2498.0,20665.0,1,1,40
27393,0,2816.0,19707.0,2,1,47
28167,1,1271.0,15780.0,2,1,44
9558,0,2128.0,20366.0,9,1,42
50,1,455.0,13335.0,1,1,35
16813,1,1968.0,17788.0,6,1,41
12476,1,959.0,14856.0,8,1,42
14501,1,923.0,14597.0,7,1,35
4481,1,1461.0,18791.0,12,1,18
26912,1,2878.0,19902.0,2,1,49
22724,0,484.0,13283.0,4,1,32
